sym1,sym2,sector,ok,pvalue,adf_stat,hedge_ratio,intercept,half_life_secs,spread_mean,spread_std,spread_std_bps,correlation,n_bars,daily_signals,r_squared
CHOLAFIN26MAYFUT,FEDERALBNK26MAYFUT,nbfc,True,0.004551,-3.6703,-6.831782,3478.5033,1599.0,3478.5033,22.1929,243.3,-0.5629,59299,11.1,0.3169
ADANIPORTS26MAYFUT,MUTHOOTFIN26MAYFUT,mixed,True,0.005331,-3.6233,-0.089842,2077.7235,3486.3,2077.7235,20.2817,78.95,-0.4435,112141,10.6,0.1967
NESTLEIND26MAYFUT,BRITANNIA26MAYFUT,fmcg,True,0.005479,-3.6151,0.313801,-245.7935,2288.8,-245.7935,16.0924,47.26,0.6086,81481,13.9,0.3704
GRASIM26MAYFUT,ASIANPAINT26MAYFUT,mixed,True,0.006302,-3.5728,3.39319,-5901.9704,1888.3,-5901.9704,61.5751,219.35,0.7148,86388,12.5,0.5109
EICHERMOT26MAYFUT,TVSMOTOR26MAYFUT,auto,True,0.006347,-3.5707,0.548296,5083.761,2400.8,5083.761,52.1349,100.5,0.6241,108416,28.1,0.3895
PRESTIGE26MAYFUT,DLF26MAYFUT,realty,True,0.006603,-3.5586,1.877812,285.3144,689.4,285.3144,15.2701,156.77,0.7868,32219,7.9,0.6191
HAVELLS26MAYFUT,CROMPTON26MAYFUT,industrials,True,0.006656,-3.5562,0.924835,929.7672,1887.7,929.7672,8.014,107.37,0.486,97802,14.2,0.2362
DIVISLAB26MAYFUT,TORNTPHARM26MAYFUT,pharma,True,0.007728,-3.5102,0.407545,5064.2383,2158.2,5064.2383,55.8804,99.3,0.3823,86633,6.4,0.1461
ADANIPORTS26MAYFUT,OBEROIRLTY26MAYFUT,mixed,True,0.007815,-3.5068,0.30917,1271.9341,3580.5,1271.9341,22.6826,133.18,0.3218,94895,15.6,0.1036
BANKBARODA26MAYFUT,IDFCFIRSTB26MAYFUT,banking,True,0.007997,-3.4996,3.453867,28.3117,1004.6,28.3117,2.1661,130.67,0.6982,41819,21.8,0.4875
HEROMOTOCO26MAYFUT,EICHERMOT26MAYFUT,auto,True,0.008396,-3.4844,0.572727,1023.3118,1563.3,1023.3118,36.6681,61.26,0.7001,81162,24.8,0.4902
CIPLA26MAYFUT,TORNTPHARM26MAYFUT,pharma,True,0.008616,-3.4764,0.274646,195.4201,5498.3,195.4201,34.2573,117.99,0.4208,110219,13.1,0.177
ADANIENT26MAYFUT,MUTHOOTFIN26MAYFUT,mixed,True,0.00962,-3.4416,-0.382952,3966.8089,6817.1,3966.8089,70.6199,233.84,-0.516,116222,4.9,0.2663
ASIANPAINT26MAYFUT,TITAN26MAYFUT,mixed,True,0.01046,-3.4149,0.029414,2497.41,2680.6,2497.41,19.9542,59.26,0.0585,101030,18.6,0.0034
ADANIENT26MAYFUT,OBEROIRLTY26MAYFUT,mixed,True,0.010603,-3.4106,0.672082,1582.0602,7882.8,1582.0602,86.5223,401.58,0.1945,96589,7.4,0.0378
ADANIPORTS26MAYFUT,GRASIM26MAYFUT,mixed,True,0.011416,-3.3868,0.105878,1461.6917,3512.4,1461.6917,21.446,90.05,0.3601,93498,22.4,0.1297
ADANIPORTS26MAYFUT,RELIANCE26MAYFUT,mixed,True,0.011423,-3.3866,-0.487723,2434.9861,3563.2,2434.9861,21.3162,136.31,-0.3183,108146,5.1,0.1013
ADANIENT26MAYFUT,GRASIM26MAYFUT,mixed,True,0.011426,-3.3865,0.281326,1842.3804,7314.8,1842.3804,79.4592,279.86,0.288,98073,11.9,0.0829
ADANIPORTS26MAYFUT,COCHINSHIP26MAYFUT,mixed,True,0.011492,-3.3847,-0.083844,1906.4303,4028.6,1906.4303,21.9389,131.31,-0.249,107793,20.1,0.062
BHARTIARTL26MAYFUT,ASIANPAINT26MAYFUT,mixed,True,0.012738,-3.3512,-0.779716,3926.7866,6867.4,3926.7866,48.8076,216.77,-0.2928,95729,16.1,0.0857
ADANIENT26MAYFUT,COCHINSHIP26MAYFUT,mixed,True,0.012878,-3.3477,-0.669651,3726.6125,6042.3,3726.6125,69.8425,329.18,-0.53,112119,10.4,0.2809
HINDUNILVR26MAYFUT,BRITANNIA26MAYFUT,fmcg,True,0.01295,-3.3458,0.534734,-617.99,2276.3,-617.99,20.2672,53.19,0.7028,102256,23.2,0.4939
PIDILITIND26MAYFUT,OBEROIRLTY26MAYFUT,mixed,True,0.013519,-3.3317,0.349611,894.9996,1401.9,894.9996,10.5246,68.16,0.6317,55756,26.0,0.399
ADANIPORTS26MAYFUT,BHARTIARTL26MAYFUT,mixed,True,0.014089,-3.3181,0.305884,1198.7084,2947.6,1198.7084,16.5883,90.7,0.6778,110805,21.4,0.4594
CIPLA26MAYFUT,ALKEM26MAYFUT,pharma,True,0.014368,-3.3116,0.140594,630.1594,6488.9,630.1594,37.9,109.64,0.2074,100992,5.4,0.043
ICICIBANK26MAYFUT,AXISBANK26MAYFUT,banking,True,0.014629,-3.3056,0.451786,682.4568,2352.8,682.4568,6.7874,54.16,0.6939,99227,12.0,0.4815
TVSMOTOR26MAYFUT,M&M26MAYFUT,auto,True,0.015122,-3.2946,1.868815,-2419.511,2818.6,-2419.511,50.6439,154.99,0.7396,123385,12.5,0.5469
ADANIPORTS26MAYFUT,PIDILITIND26MAYFUT,mixed,True,0.018981,-3.2177,0.571561,930.5871,2544.3,930.5871,21.0196,129.98,0.3722,66512,6.6,0.1385
BHARTIARTL26MAYFUT,BAJAJFINSV26MAYFUT,mixed,True,0.019688,-3.2052,0.240007,1471.6924,11911.1,1471.6924,45.3567,249.53,0.0812,94780,4.1,0.0066
BAJFINANCE26MAYFUT,LICHSGFIN26MAYFUT,nbfc,True,0.021932,-3.1677,-0.266177,1059.0668,1377.8,1059.0668,7.6921,104.81,-0.5118,39183,6.8,0.2619
BRITANNIA26MAYFUT,TATACONSUM26MAYFUT,fmcg,True,0.022011,-3.1664,0.764464,4437.7249,2391.7,4437.7249,35.3382,107.25,0.3955,82178,16.6,0.1564
JSWSTEEL26MAYFUT,SAIL26MAYFUT,metals,True,0.022806,-3.154,0.757188,1138.0723,292.1,1138.0723,9.1133,122.92,0.3424,11408,2.5,0.1173
INDUSINDBK26MAYFUT,LICHSGFIN26MAYFUT,nbfc,True,0.024611,-3.1271,0.179113,802.0036,1037.5,802.0036,7.2834,99.9,0.396,34868,4.5,0.1568
SUNPHARMA26MAYFUT,CIPLA26MAYFUT,pharma,True,0.024722,-3.1255,0.339624,1394.1768,3227.8,1394.1768,13.5592,82.58,0.6396,90831,17.1,0.4091
LICHSGFIN26MAYFUT,FEDERALBNK26MAYFUT,nbfc,True,0.024723,-3.1255,-3.755099,1617.4274,900.7,1617.4274,12.0403,288.07,-0.5898,21902,6.1,0.3479
ADANIENT26MAYFUT,TITAN26MAYFUT,mixed,True,0.026287,-3.1036,1.265927,-2531.7583,4646.0,-2531.7583,66.3616,195.24,0.5864,114967,13.4,0.3439
HEROMOTOCO26MAYFUT,TVSMOTOR26MAYFUT,auto,True,0.027461,-3.0879,0.388454,3678.927,2640.9,3678.927,41.6843,98.99,0.5834,91465,22.0,0.3403
ALKEM26MAYFUT,TORNTPHARM26MAYFUT,pharma,True,0.02839,-3.0759,-0.119633,6036.7111,2186.7,6036.7111,55.7407,112.49,-0.1242,92486,19.8,0.0154
GRASIM26MAYFUT,OBEROIRLTY26MAYFUT,mixed,True,0.02976,-3.0588,2.900334,-1741.449,2390.6,-1741.449,52.1615,224.99,0.8124,88617,12.2,0.6599
KOTAKBANK26MAYFUT,IDFCFIRSTB26MAYFUT,banking,True,0.030487,-3.0499,-1.39894,481.197,1840.9,481.197,3.7923,167.04,-0.2612,44893,8.4,0.0682
TITAN26MAYFUT,MUTHOOTFIN26MAYFUT,mixed,True,0.030634,-3.0482,-0.066712,4339.3873,3963.8,4339.3873,36.9531,98.93,-0.1924,122908,27.8,0.037
TITAN26MAYFUT,COCHINSHIP26MAYFUT,mixed,True,0.031545,-3.0374,-0.013518,4135.7992,3829.4,4135.7992,37.6761,132.72,-0.0235,115352,17.8,0.0006
CIPLA26MAYFUT,DIVISLAB26MAYFUT,pharma,True,0.031691,-3.0357,0.181421,163.7733,6340.4,163.7733,35.4637,85.86,0.3052,93901,6.4,0.0931
LUPIN26MAYFUT,ALKEM26MAYFUT,pharma,True,0.03549,-2.9937,0.116102,1618.1673,2133.3,1618.1673,16.6056,42.76,0.3802,80523,15.5,0.1445
TECHM26MAYFUT,HCLTECH26MAYFUT,it,True,0.035919,-2.9892,1.665788,-514.9642,2520.2,-514.9642,15.8782,124.03,0.9056,94363,15.2,0.8202
BEL26MAYFUT,POWERGRID26MAYFUT,infra,True,0.036251,-2.9857,0.649632,229.4263,1614.4,229.4263,4.3998,121.8,0.5892,39469,4.6,0.3471
ADANIPORTS26MAYFUT,ASIANPAINT26MAYFUT,mixed,True,0.036559,-2.9825,0.40664,711.24,3817.8,711.24,22.5466,102.65,0.3273,94358,15.6,0.1071
TITAN26MAYFUT,BAJAJFINSV26MAYFUT,mixed,True,0.039601,-2.9522,0.107621,3935.2099,3413.3,3935.2099,35.8022,121.99,0.0481,97307,3.2,0.0023
ADANIENT26MAYFUT,ASIANPAINT26MAYFUT,mixed,True,0.039787,-2.9505,0.508372,1348.5196,9064.8,1348.5196,86.5919,326.84,0.118,98427,4.1,0.0139
KOTAKBANK26MAYFUT,BANKBARODA26MAYFUT,banking,True,0.040706,-2.9417,-0.133774,421.0323,3055.9,421.0323,3.8909,119.77,-0.1151,69982,13.6,0.0132
DRREDDY26MAYFUT,LUPIN26MAYFUT,pharma,True,0.041848,-2.9311,0.622954,-96.8555,3837.4,-96.8555,25.1213,140.98,0.4056,65223,2.6,0.1645
BHARTIARTL26MAYFUT,GRASIM26MAYFUT,mixed,True,0.04258,-2.9244,0.000514,1883.4271,14233.2,1883.4271,48.581,199.61,0.0008,95045,15.6,0.0
DRREDDY26MAYFUT,AUROPHARMA26MAYFUT,pharma,True,0.043096,-2.9198,0.215788,988.4899,2012.1,988.4899,23.2932,164.92,0.2031,26906,4.1,0.0412
RELIANCE26MAYFUT,MUTHOOTFIN26MAYFUT,mixed,True,0.043289,-2.918,0.103207,1006.0213,3749.0,1006.0213,8.7516,37.17,0.7893,119309,16.5,0.6229
BEL26MAYFUT,NTPC26MAYFUT,infra,True,0.043351,-2.9175,1.34778,-105.2822,3007.4,-105.2822,5.1439,126.12,0.6544,85832,8.5,0.4282
BHARTIARTL26MAYFUT,TITAN26MAYFUT,mixed,True,0.045147,-2.9017,0.758821,-1239.4516,5947.0,-1239.4516,38.8262,129.38,0.6028,114451,36.2,0.3633
ADANIENT26MAYFUT,RELIANCE26MAYFUT,mixed,True,0.045697,-2.897,-2.25187,5725.0949,7155.3,5725.0949,75.61,375.01,-0.4007,110880,6.6,0.1606
PIDILITIND26MAYFUT,MUTHOOTFIN26MAYFUT,mixed,True,0.04579,-2.8962,0.067655,1235.9848,2236.2,1235.9848,11.799,48.52,0.5812,68102,18.2,0.3378
LT26MAYFUT,HAL26MAYFUT,infra,True,0.046358,-2.8914,0.070527,3583.5189,4537.3,3583.5189,30.6836,73.69,0.3391,103652,9.9,0.115
OBEROIRLTY26MAYFUT,PRESTIGE26MAYFUT,realty,True,0.047924,-2.8784,0.804422,532.3662,1866.7,532.3662,17.4175,116.06,0.7727,86562,19.0,0.597
PRESTIGE26MAYFUT,PHOENIXLTD26MAYFUT,realty,True,0.049337,-2.8669,0.545541,414.357,2170.4,414.357,20.7509,132.88,0.5192,87553,24.2,0.2695
BHARTIARTL26MAYFUT,MUTHOOTFIN26MAYFUT,mixed,True,0.053982,-2.831,-0.314832,2942.983,8240.0,2942.983,33.7519,128.64,-0.726,115225,16.6,0.527
LT26MAYFUT,NTPC26MAYFUT,infra,True,0.054046,-2.8305,3.734683,2435.664,3984.8,2435.664,31.8118,148.32,0.3353,92039,14.1,0.1124
