sym1,sym2,sector,ok,pvalue,adf_stat,hedge_ratio,intercept,half_life_secs,spread_mean,spread_std,spread_std_bps,correlation,n_bars,daily_signals,r_squared
BEL26MAYFUT,HAL26MAYFUT,infra,True,0.140093,-2.4058,0.026718,305.1054,5342.5,305.1054,5.0124,20.61,0.6473,97662,9.0,0.419
AXISBANK26MAYFUT,BANKBARODA26MAYFUT,banking,True,0.145567,-2.3866,2.81869,513.1051,3407.0,513.1051,10.0213,131.75,0.6628,83095,10.1,0.4393
BAJAJFINSV26MAYFUT,COCHINSHIP26MAYFUT,mixed,True,0.157006,-2.3478,-0.020383,1777.5163,4258.6,1777.5163,15.7956,95.44,-0.0817,93026,8.5,0.0067
BAJAJ-AUTO26MAYFUT,EICHERMOT26MAYFUT,auto,True,0.176599,-2.2858,1.001009,3425.0295,5192.1,3425.0295,121.1004,139.65,0.4817,101836,8.2,0.232
PIDILITIND26MAYFUT,TITAN26MAYFUT,mixed,True,0.186955,-2.2548,0.099521,1056.6991,3397.9,1056.6991,14.1002,50.56,0.256,68732,10.5,0.0655
DRREDDY26MAYFUT,DIVISLAB26MAYFUT,pharma,True,0.18923,-2.2482,0.055535,928.554,6405.2,928.554,27.0071,66.25,0.1304,59208,7.6,0.017
SUNPHARMA26MAYFUT,TORNTPHARM26MAYFUT,pharma,True,0.192106,-2.2398,0.145214,1232.2028,4091.9,1232.2028,15.1425,48.22,0.4917,84231,1.5,0.2418
ICICIBANK26MAYFUT,BANKBARODA26MAYFUT,banking,True,0.200991,-2.2146,1.486313,859.8724,3408.4,859.8724,8.5279,112.53,0.4938,73405,34.6,0.2438
RELIANCE26MAYFUT,COCHINSHIP26MAYFUT,mixed,True,0.202344,-2.2108,0.148286,1120.3977,6146.4,1120.3977,10.8351,74.31,0.6703,111255,6.0,0.4493
CHOLAFIN26MAYFUT,INDUSINDBK26MAYFUT,nbfc,True,0.211224,-2.1864,1.562913,137.5273,4645.6,137.5273,24.8814,203.62,0.5279,86729,11.2,0.2787
CHOLAFIN26MAYFUT,BAJFINANCE26MAYFUT,nbfc,True,0.213905,-2.1791,-0.726144,2204.5865,8052.8,2204.5865,28.3525,231.04,-0.2196,110541,0.8,0.0482
RELIANCE26MAYFUT,BAJAJFINSV26MAYFUT,mixed,True,0.218278,-2.1674,0.158416,1074.7872,7195.2,1074.7872,14.1411,91.28,0.1732,93308,7.0,0.03
BHARTIARTL26MAYFUT,PIDILITIND26MAYFUT,mixed,True,0.228838,-2.1397,-0.722409,2929.6688,12332.5,2929.6688,55.3151,331.57,-0.1908,67968,4.4,0.0364
ICICIBANK26MAYFUT,KOTAKBANK26MAYFUT,banking,True,0.235169,-2.1235,0.692872,983.0378,3968.6,983.0378,8.2525,101.03,0.2979,83232,18.1,0.0888
SUNPHARMA26MAYFUT,ALKEM26MAYFUT,pharma,True,0.241951,-2.1064,-0.057337,2187.6334,5065.0,2187.6334,17.0374,46.16,-0.1998,76755,12.5,0.0399
HCLTECH26MAYFUT,WIPRO26MAYFUT,it,True,0.255382,-2.0733,3.113812,551.5712,5594.5,551.5712,11.4633,170.23,0.8517,96789,19.5,0.7253
GRASIM26MAYFUT,BAJAJFINSV26MAYFUT,mixed,True,0.270162,-2.038,3.206709,-2615.4963,4353.0,-2615.4963,63.1053,266.26,0.5935,81156,20.5,0.3522
SBIN26MAYFUT,KOTAKBANK26MAYFUT,banking,True,0.27412,-2.0287,0.421981,794.5687,6376.9,794.5687,9.668,144.1,0.177,83679,12.2,0.0313
HAL26MAYFUT,POWERGRID26MAYFUT,infra,True,0.276569,-2.023,24.281032,-2856.6358,3293.0,-2856.6358,111.8681,476.11,0.7226,41956,10.5,0.5222
SUNPHARMA26MAYFUT,AUROPHARMA26MAYFUT,pharma,True,0.278644,-2.0182,0.155142,1643.0601,2576.0,1643.0601,16.5863,98.07,0.2332,32788,7.2,0.0544
ICICIBANK26MAYFUT,SBIN26MAYFUT,banking,True,0.285482,-2.0025,0.540463,732.3348,4439.8,732.3348,8.3967,76.25,0.4905,95245,11.1,0.2405
ICICIBANK26MAYFUT,IDFCFIRSTB26MAYFUT,banking,True,0.291704,-1.9884,8.174572,692.4549,3118.7,692.4549,9.7006,147.42,0.507,54765,2.8,0.257
HAL26MAYFUT,NTPC26MAYFUT,infra,True,0.298543,-1.973,26.78046,-6064.5877,7461.2,-6064.5877,126.789,525.54,0.5603,95950,3.0,0.3139
ONGC26MAYFUT,COALINDIA26MAYFUT,energy,True,0.299597,-1.9706,0.249543,182.4136,4195.9,182.4136,2.9542,77.95,0.3307,62900,6.0,0.1094
BAJAJ-AUTO26MAYFUT,MARUTI26MAYFUT,auto,True,0.334677,-1.8944,0.477217,4163.7598,6141.2,4163.7598,122.9338,104.81,0.3548,94935,9.0,0.1259
AUROPHARMA26MAYFUT,ALKEM26MAYFUT,pharma,True,0.341762,-1.8795,0.189464,467.1618,2176.4,467.1618,20.3253,58.08,0.4592,32755,4.4,0.2109
SUNPHARMA26MAYFUT,LUPIN26MAYFUT,pharma,True,0.351503,-1.8592,0.147084,1540.3552,6406.1,1540.3552,18.085,87.57,0.1479,77875,19.0,0.0219
VOLTAS26MAYFUT,CROMPTON26MAYFUT,industrials,True,0.364347,-1.8327,-0.407315,1387.1019,7112.6,1387.1019,24.2492,310.75,-0.0814,77378,4.5,0.0066
SUNPHARMA26MAYFUT,DIVISLAB26MAYFUT,pharma,True,0.367789,-1.8257,-0.001251,1881.3512,6388.9,1881.3512,18.436,42.28,-0.0044,69866,12.0,0.0
ONGC26MAYFUT,IOC26MAYFUT,energy,True,0.386747,-1.7874,-0.003426,298.0328,5393.0,298.0328,2.9244,134.32,-0.0036,67605,4.5,0.0
TATASTEEL26MAYFUT,SAIL26MAYFUT,metals,True,0.39365,-1.7736,0.524016,111.1893,1707.7,111.1893,4.7004,228.8,0.444,18310,6.5,0.1971
AXISBANK26MAYFUT,SBIN26MAYFUT,banking,True,0.394688,-1.7715,0.796849,494.4617,5202.2,494.4617,10.259,92.73,0.5921,96097,11.4,0.3506
BAJAJ-AUTO26MAYFUT,TVSMOTOR26MAYFUT,auto,True,0.429232,-1.7037,0.502214,8672.6232,8720.1,8672.6232,128.1835,185.8,0.2816,111431,7.2,0.0793
BAJAJ-AUTO26MAYFUT,M&M26MAYFUT,auto,True,0.431175,-1.6999,1.526054,5621.386,8023.8,5621.386,125.2601,185.49,0.3366,113291,17.5,0.1133
BPCL26MAYFUT,ONGC26MAYFUT,energy,True,0.433675,-1.695,-0.357195,397.2265,5398.4,397.2265,5.4406,184.9,-0.1674,47651,10.8,0.028
AXISBANK26MAYFUT,KOTAKBANK26MAYFUT,banking,True,0.454791,-1.6543,-0.899669,1601.7468,7439.9,1601.7468,13.1891,160.8,-0.2633,91275,11.4,0.0694
BAJAJ-AUTO26MAYFUT,HEROMOTOCO26MAYFUT,auto,True,0.462745,-1.6391,0.051012,10152.5097,7890.6,10152.5097,131.3232,170.4,0.0196,86838,2.8,0.0004
MUTHOOTFIN26MAYFUT,OBEROIRLTY26MAYFUT,mixed,True,0.52297,-1.5213,0.212895,2993.6658,17476.3,2993.6658,93.9378,377.7,0.0584,105193,6.8,0.0034
HINDALCO26MAYFUT,TATASTEEL26MAYFUT,metals,True,0.573431,-1.4184,-0.045606,1087.9524,14090.6,1087.9524,19.2188,297.88,-0.0132,105875,3.5,0.0002
AUROPHARMA26MAYFUT,TORNTPHARM26MAYFUT,pharma,True,0.574893,-1.4154,-0.102657,1960.9896,4384.4,1960.9896,23.3753,78.92,-0.2542,38418,11.0,0.0646
HINDALCO26MAYFUT,VEDL26MAYFUT,metals,True,0.601645,-1.3593,1.46884,592.7198,8624.5,592.7198,16.9063,241.59,0.4077,79677,0.0,0.1663
INFY26MAYFUT,WIPRO26MAYFUT,it,True,0.613303,-1.3344,4.574064,269.547,9785.8,269.547,16.3826,243.07,0.8601,94810,26.1,0.7398
BPCL26MAYFUT,COALINDIA26MAYFUT,energy,True,0.615217,-1.3303,-0.085413,328.873,11064.0,328.873,6.0793,161.91,-0.0575,70606,4.8,0.0033
AXISBANK26MAYFUT,HDFCBANK26MAYFUT,banking,True,0.630189,-1.2978,0.138157,1150.0527,12805.1,1150.0527,13.7673,136.15,0.0777,115602,8.2,0.006
COCHINSHIP26MAYFUT,OBEROIRLTY26MAYFUT,mixed,True,0.692227,-1.156,0.392938,919.0074,21666.5,919.0074,63.4269,397.34,0.1585,97844,0.0,0.0251
TECHM26MAYFUT,WIPRO26MAYFUT,it,True,0.717421,-1.0941,3.925236,650.0822,15041.7,650.0822,29.3069,365.01,0.6326,78071,9.0,0.4002
IOC26MAYFUT,COALINDIA26MAYFUT,energy,True,0.745882,-1.02,0.081474,100.0273,21287.2,100.0273,3.3754,112.7,0.0922,96039,20.2,0.0085
GRASIM26MAYFUT,TITAN26MAYFUT,mixed,True,0.756829,-0.9902,-0.541724,5225.3767,19561.6,5225.3767,84.201,236.78,-0.2421,101885,21.2,0.0586
TATASTEEL26MAYFUT,VEDL26MAYFUT,metals,True,0.772575,-0.9456,0.018723,208.4705,22442.6,208.4705,5.7164,211.03,0.0171,86178,1.8,0.0003
GRASIM26MAYFUT,MUTHOOTFIN26MAYFUT,mixed,True,0.884576,-0.5371,-0.150082,3499.4508,37235.3,3499.4508,85.1505,268.28,-0.1766,103106,3.8,0.0312
GRASIM26MAYFUT,COCHINSHIP26MAYFUT,mixed,True,0.908311,-0.4106,-0.146665,3225.6213,40546.5,3225.6213,86.4352,379.11,-0.1059,98087,11.8,0.0112
GRASIM26MAYFUT,PIDILITIND26MAYFUT,mixed,True,0.919539,-0.3407,1.535134,725.1584,16584.3,725.1584,64.1812,288.9,0.3059,52865,10.6,0.0936
