symbol,min_spread,phi,open_mult,rho,zeta,theta_kappa,classifier_threshold,train_sharpe,test_sharpe,test_pnl,total_pnl,avg_daily_pnl,profitable_days,test_days,pnl_std
ADANIPORTS26JUNFUT,0.1,0.001,2.0,0.5,0.5,1.5,0.6,-1.407,4.7875,-5373.61,-27154.97,-5430.99,2,4,20904.5
ADANIPORTS26JUNFUT,0.1,0.001,2.0,0.5,0.5,2.0,0.4,-23.8397,4.1,-97241.15,-155370.1,-31074.02,0,4,14767.17
ADANIPORTS26JUNFUT,0.1,0.001,2.0,0.5,0.5,2.0,0.5,-26.9283,3.855,-122550.97,-184024.27,-36804.85,0,4,15305.44
ADANIPORTS26JUNFUT,0.1,0.001,2.0,0.5,0.5,2.0,0.6,-27.0256,3.945,-118898.53,-175138.25,-35027.65,0,4,15544.08
ADANIPORTS26JUNFUT,0.1,0.001,2.0,0.5,1.0,1.0,0.4,1.6394,5.39,25850.68,8423.72,1684.74,3,4,21898.17
ADANIPORTS26JUNFUT,0.1,0.001,2.0,0.5,1.0,1.0,0.5,1.3976,5.39,26695.18,6742.76,1348.55,3,4,23615.12
ADANIPORTS26JUNFUT,0.1,0.001,2.0,0.5,1.0,1.0,0.6,-1.7979,5.5175,22586.28,-12074.32,-2414.86,3,4,24491.22
ADANIPORTS26JUNFUT,0.1,0.001,2.0,0.5,1.0,1.5,0.4,-5.8312,4.8525,-5284.03,-27214.25,-5442.85,2,4,17021.36
ADANIPORTS26JUNFUT,0.1,0.001,2.0,0.5,1.0,1.5,0.5,-4.1448,4.805,-6421.39,-28429.68,-5685.94,2,4,18280.9
ADANIPORTS26JUNFUT,0.1,0.001,2.0,0.5,1.0,1.5,0.6,-1.387,4.79,-4979.57,-26760.93,-5352.19,2,4,21002.38
ADANIPORTS26JUNFUT,0.1,0.001,2.0,0.5,1.0,2.0,0.4,-23.8404,4.1,-97250.65,-155393.86,-31078.77,0,4,14771.25
ADANIPORTS26JUNFUT,0.1,0.001,2.0,0.5,1.0,2.0,0.5,-26.9259,3.855,-122546.23,-184014.78,-36802.96,0,4,15303.44
ADANIPORTS26JUNFUT,0.1,0.001,2.0,0.5,1.0,2.0,0.6,-27.0181,3.945,-118893.78,-175133.5,-35026.7,0,4,15545.35
ADANIENT26JUNFUT,0.1,0.001,2.0,0.2,0.3,1.0,0.4,-8.1825,3.665,-169383.29,-142069.1,-28413.82,2,4,46994.01
ADANIENT26JUNFUT,0.1,0.001,2.0,0.2,0.3,1.0,0.5,-5.6653,4.005,-158845.08,-112855.03,-22571.01,2,4,46985.72
ADANIENT26JUNFUT,0.1,0.001,2.0,0.2,0.3,1.0,0.6,-5.9777,3.9875,-155123.56,-109845.74,-21969.15,2,4,46942.74
ADANIENT26JUNFUT,0.1,0.001,2.0,0.2,0.3,1.5,0.4,-91.0317,3.655,-239822.4,-302339.19,-60467.84,0,4,9301.42
ADANIENT26JUNFUT,0.1,0.001,2.0,0.2,0.3,1.5,0.5,-92.0042,3.755,-238112.08,-292328.3,-58465.66,0,4,7857.23
ADANIENT26JUNFUT,0.1,0.001,2.0,0.2,0.3,1.5,0.6,-102.1125,3.6775,-244850.0,-299591.56,-59918.31,0,4,6968.38
ADANIENT26JUNFUT,0.1,0.001,2.0,0.2,0.3,2.0,0.4,-3075.7302,3.315,-271725.01,-344941.67,-68988.33,0,4,11716.21
ADANIENT26JUNFUT,0.1,0.001,2.0,0.2,0.3,2.0,0.5,-146.7561,3.05,-295088.98,-373907.97,-74781.59,0,4,13889.4
ADANIENT26JUNFUT,0.1,0.001,2.0,0.2,0.3,2.0,0.6,-145.4151,3.0125,-300331.08,-378599.77,-75719.95,0,4,13928.84
ADANIENT26JUNFUT,0.1,0.001,2.0,0.2,0.5,1.0,0.4,-7.8379,3.6825,-167103.3,-137196.67,-27439.33,2,4,47511.89
ADANIENT26JUNFUT,0.1,0.001,2.0,0.2,0.5,1.0,0.5,-5.7815,3.955,-163120.92,-116812.77,-23362.55,2,4,47885.81
ADANIENT26JUNFUT,0.1,0.001,2.0,0.2,0.5,1.0,0.6,-5.9773,3.9875,-155123.56,-109842.65,-21968.53,2,4,46943.62
ADANIENT26JUNFUT,0.1,0.001,2.0,0.2,0.5,1.5,0.4,-85.7894,3.64,-241107.18,-303630.15,-60726.03,0,4,9773.89
