symbol,gamma,kappa,min_spread,open_mult,train_sharpe,train_pnl,test_sharpe,test_pnl,total_pnl,avg_daily_pnl,profitable_days,test_days,pnl_std
ADANIPORTS26JUNFUT,0.0005,2.0,0.1,1.0,6.1715,-101251.27,5.19,-196829.61,-287913.46,-57582.69,1,4,56892.02
ADANIPORTS26JUNFUT,0.0005,2.0,0.1,1.5,7.474,-49771.25,5.5775,-138644.52,-174679.42,-34935.88,0,4,36877.92
ADANIPORTS26JUNFUT,0.0005,2.0,0.1,2.0,6.8292,-66388.56,5.495,-128661.81,-186812.72,-37362.54,1,4,35266.22
ADANIPORTS26JUNFUT,0.0005,2.0,0.1,3.0,6.4683,-78893.96,5.5775,-104759.04,-169640.69,-33928.14,0,4,29082.94
ADANIPORTS26JUNFUT,0.0005,2.0,0.25,1.0,6.1715,-101251.27,5.19,-196829.61,-287913.46,-57582.69,1,4,56892.02
ADANIPORTS26JUNFUT,0.0005,2.0,0.25,1.5,7.474,-49771.25,5.5775,-138644.52,-174679.42,-34935.88,0,4,36877.92
ADANIPORTS26JUNFUT,0.0005,2.0,0.25,2.0,6.8292,-66388.56,5.495,-128661.81,-186812.72,-37362.54,1,4,35266.22
ADANIPORTS26JUNFUT,0.0005,2.0,0.25,3.0,6.4683,-78893.96,5.5775,-104759.04,-169640.69,-33928.14,0,4,29082.94
ADANIPORTS26JUNFUT,0.0005,2.0,0.5,1.0,6.1715,-101251.27,5.19,-196829.61,-287913.46,-57582.69,1,4,56892.02
ADANIPORTS26JUNFUT,0.0005,2.0,0.5,1.5,7.474,-49771.25,5.5775,-138644.52,-174679.42,-34935.88,0,4,36877.92
ADANIPORTS26JUNFUT,0.0005,2.0,0.5,2.0,6.8292,-66388.56,5.495,-128661.81,-186812.72,-37362.54,1,4,35266.22
ADANIPORTS26JUNFUT,0.0005,2.0,0.5,3.0,6.4683,-78893.96,5.5775,-104759.04,-169640.69,-33928.14,0,4,29082.94
ADANIPORTS26JUNFUT,0.001,1.0,0.05,1.0,6.3413,8610.91,5.3225,-22312.77,-41767.56,-8353.51,2,4,41198.18
ADANIPORTS26JUNFUT,0.001,1.0,0.05,1.5,7.5223,21906.35,6.585,9763.27,5212.36,1042.47,2,4,34373.58
ADANIPORTS26JUNFUT,0.001,1.0,0.05,2.0,9.5242,64045.33,6.26,-1530.89,31654.44,6330.89,3,4,37605.86
ADANIPORTS26JUNFUT,0.001,1.0,0.05,3.0,9.0056,43603.6,5.88,-1028.0,19374.94,3874.99,3,4,32124.9
ADANIPORTS26JUNFUT,0.001,1.0,0.1,1.0,6.3413,8610.91,5.3225,-22312.77,-41767.56,-8353.51,2,4,41198.18
ADANIPORTS26JUNFUT,0.001,1.0,0.1,1.5,7.5223,21906.35,6.585,9763.27,5212.36,1042.47,2,4,34373.58
ADANIPORTS26JUNFUT,0.001,1.0,0.1,2.0,9.5242,64045.33,6.26,-1530.89,31654.44,6330.89,3,4,37605.86
ADANIPORTS26JUNFUT,0.001,1.0,0.1,3.0,9.0056,43603.6,5.88,-1028.0,19374.94,3874.99,3,4,32124.9
ADANIPORTS26JUNFUT,0.001,1.0,0.25,1.0,6.3413,8610.91,5.3225,-22312.77,-41767.56,-8353.51,2,4,41198.18
ADANIPORTS26JUNFUT,0.001,1.0,0.25,1.5,7.5223,21906.35,6.585,9763.27,5212.36,1042.47,2,4,34373.58
ADANIPORTS26JUNFUT,0.001,1.0,0.25,2.0,9.5242,64045.33,6.26,-1530.89,31654.44,6330.89,3,4,37605.86
ADANIPORTS26JUNFUT,0.001,1.0,0.25,3.0,9.0056,43603.6,5.88,-1028.0,19374.94,3874.99,3,4,32124.9
ADANIPORTS26JUNFUT,0.001,1.0,0.5,1.0,6.3413,8610.91,5.3225,-22312.77,-41767.56,-8353.51,2,4,41198.18
ADANIPORTS26JUNFUT,0.001,1.0,0.5,1.5,7.5223,21906.35,6.585,9763.27,5212.36,1042.47,2,4,34373.58
ADANIPORTS26JUNFUT,0.001,1.0,0.5,2.0,9.5242,64045.33,6.26,-1530.89,31654.44,6330.89,3,4,37605.86
ADANIPORTS26JUNFUT,0.001,1.0,0.5,3.0,9.0056,43603.6,5.88,-1028.0,19374.94,3874.99,3,4,32124.9
ADANIPORTS26JUNFUT,0.001,1.5,0.05,1.0,8.4133,15205.25,6.25,-95914.85,-100423.12,-20084.62,1,4,52333.97
ADANIPORTS26JUNFUT,0.001,1.5,0.05,1.5,6.5671,-46090.21,6.2925,-53321.29,-103304.67,-20660.93,1,4,36061.36
ADANIPORTS26JUNFUT,0.001,1.5,0.05,2.0,5.9227,-57903.81,6.14,-44951.71,-100800.2,-20160.04,1,4,35347.07
ADANIPORTS26JUNFUT,0.001,1.5,0.05,3.0,8.2208,2526.16,6.6725,-32138.79,-30886.24,-6177.25,2,4,19593.64
ADANIPORTS26JUNFUT,0.001,1.5,0.1,1.0,8.4133,15205.25,6.25,-95914.85,-100423.12,-20084.62,1,4,52333.97
ADANIPORTS26JUNFUT,0.001,1.5,0.1,1.5,6.5671,-46090.21,6.2925,-53321.29,-103304.67,-20660.93,1,4,36061.36
ADANIPORTS26JUNFUT,0.001,1.5,0.1,2.0,5.9227,-57903.81,6.14,-44951.71,-100800.2,-20160.04,1,4,35347.07
ADANIPORTS26JUNFUT,0.001,1.5,0.1,3.0,8.2208,2526.16,6.6725,-32138.79,-30886.24,-6177.25,2,4,19593.64
ADANIPORTS26JUNFUT,0.001,1.5,0.25,1.0,8.4133,15205.25,6.25,-95914.85,-100423.12,-20084.62,1,4,52333.97
ADANIPORTS26JUNFUT,0.001,1.5,0.25,1.5,6.5671,-46090.21,6.2925,-53321.29,-103304.67,-20660.93,1,4,36061.36
ADANIPORTS26JUNFUT,0.001,1.5,0.25,2.0,5.9227,-57903.81,6.14,-44951.71,-100800.2,-20160.04,1,4,35347.07
ADANIPORTS26JUNFUT,0.001,1.5,0.25,3.0,8.2208,2526.16,6.6725,-32138.79,-30886.24,-6177.25,2,4,19593.64
ADANIPORTS26JUNFUT,0.001,1.5,0.5,1.0,8.4133,15205.25,6.25,-95914.85,-100423.12,-20084.62,1,4,52333.97
